150531 230519.029|CONFIG|Thread-5|setFileHandlers|Now logging to C:\Users\SONY_VAIO\Desktop\pc2-9.2.3_102\pc2-9.2.3_102\pc2-9.2.3\bin\logs directory.
150531 230519.030|INFO|Thread-5|info|
150531 230519.031|INFO|Thread-5|info|Version 9.2.3 20120910 (Monday, September 10th 2012 16:20 UTC) Java ver 1.7.0_25 build 2565 Windows 8 6.2 (amd64) 
150531 230519.031|INFO|Thread-5|info|Login: team26 (aka team26)
150531 230519.037|INFO|Thread-5|startLog|Working directory is C:\Users\SONY_VAIO\Desktop\pc2-9.2.3_102\pc2-9.2.3_102\pc2-9.2.3\bin
150531 230519.039|INFO|Thread-5|startLog|Process id is 7524@VAIO
150531 230519.044|INFO|Thread-5|info|Attempting to load UI class edu.csus.ecs.pc2.ui.team.TeamView
150531 230519.224|INFO|Thread-5|info|Loaded UI class edu.csus.ecs.pc2.ui.team.TeamView
150531 230519.786|INFO|Thread-5|info| handlePacket original LOGIN_SUCCESS after -- all settings loaded 
150531 230519.788|INFO|Thread-5|info|handlePacket end Packet[LOGIN_SUCCESS] #10551 SERVER0 @ site 1 -> TEAM26 @ site 1
150531 230519.789|INFO|Thread-5|info| receiveObject(S) end   got Packet[LOGIN_SUCCESS] #10551 SERVER0 @ site 1 -> TEAM26 @ site 1
150531 230536.407|INFO|AWT-EventQueue-0|testOrSubmitRun|submitRun for p3w2d GNU C file: C:\Users\SONY_VAIO\Desktop\p3w2d shadow version\main.c
150531 230536.412|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[RUN_SUBMISSION] #2 TEAM26 @ site 1 -> SERVER0 @ site 1
150531 230536.413|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[RUN_SUBMISSION] #2 TEAM26 @ site 1 -> SERVER0 @ site 1
150531 230536.521|INFO|Thread-8|info| receiveObject(S) start got Packet[RUN_SUBMISSION_CONFIRM] #10553 SERVER0 @ site 1 -> TEAM26 @ site 1
150531 230536.522|INFO|Thread-8|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #10553 ) recieveObject
150531 230536.522|INFO|Thread-8|dumpPacket|  From: SERVER0 @ site 1 (sna405-PC @ 140.123.104.102) (Contest Id: Default-4012406657417321273)
150531 230536.523|INFO|Thread-8|dumpPacket|    To: TEAM26 @ site 1
150531 230536.523|INFO|Thread-8|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 537 QUEUED_FOR_COMPUTER_JUDGEMENT557826045 ms from TEAM26 @ site 1 id Run--1184751074745781555
150531 230536.524|INFO|Thread-8|info|handlePacket start Packet[RUN_SUBMISSION_CONFIRM] #10553 SERVER0 @ site 1 -> TEAM26 @ site 1
150531 230536.525|INFO|Thread-8|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #10553 ) handlePacket
150531 230536.525|INFO|Thread-8|dumpPacket|  From: SERVER0 @ site 1 (sna405-PC @ 140.123.104.102) (Contest Id: Default-4012406657417321273)
150531 230536.525|INFO|Thread-8|dumpPacket|    To: TEAM26 @ site 1
150531 230536.526|INFO|Thread-8|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 537 QUEUED_FOR_COMPUTER_JUDGEMENT557826045 ms from TEAM26 @ site 1 id Run--1184751074745781555
150531 230539.434|INFO|Thread-9|info| receiveObject(S) start got Packet[RUN_JUDGEMENT] #10566 SERVER0 @ site 1 -> TEAM26 @ site 1
150531 230539.435|INFO|Thread-9|dumpPacket|Packet RUN_JUDGEMENT (Seq #10566 ) recieveObject
150531 230539.435|INFO|Thread-9|dumpPacket|  From: SERVER0 @ site 1 (sna405-PC @ 140.123.104.102) (Contest Id: Default-4012406657417321273)
150531 230539.436|INFO|Thread-9|dumpPacket|    To: TEAM26 @ site 1
150531 230539.436|INFO|Thread-9|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
150531 230539.437|INFO|Thread-9|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord No by JUDGE6 @ site 1 judgement No - Wrong Answer--650080255801470458 id JudgementRecord--1937182755413400728
150531 230539.437|INFO|Thread-9|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 537 JUDGED557826045 ms from TEAM26 @ site 1 id Run--1184751074745781555
150531 230539.438|INFO|Thread-9|info|handlePacket start Packet[RUN_JUDGEMENT] #10566 SERVER0 @ site 1 -> TEAM26 @ site 1
150531 230539.438|INFO|Thread-9|dumpPacket|Packet RUN_JUDGEMENT (Seq #10566 ) handlePacket
150531 230539.439|INFO|Thread-9|dumpPacket|  From: SERVER0 @ site 1 (sna405-PC @ 140.123.104.102) (Contest Id: Default-4012406657417321273)
150531 230539.439|INFO|Thread-9|dumpPacket|    To: TEAM26 @ site 1
150531 230539.440|INFO|Thread-9|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
150531 230539.440|INFO|Thread-9|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord No by JUDGE6 @ site 1 judgement No - Wrong Answer--650080255801470458 id JudgementRecord--1937182755413400728
150531 230539.441|INFO|Thread-9|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 537 JUDGED557826045 ms from TEAM26 @ site 1 id Run--1184751074745781555
150531 230541.343|INFO|Thread-9|info| receiveObject(S) end   got Packet[RUN_JUDGEMENT] #10566 SERVER0 @ site 1 -> TEAM26 @ site 1
150531 230542.456|INFO|Thread-8|info| receiveObject(S) end   got Packet[RUN_SUBMISSION_CONFIRM] #10553 SERVER0 @ site 1 -> TEAM26 @ site 1
150531 230620.109|INFO|AWT-EventQueue-0|testOrSubmitRun|submitRun for p3w2d GNU C file: C:\Users\SONY_VAIO\Desktop\p3w2d shadow version\main.c
150531 230620.112|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[RUN_SUBMISSION] #3 TEAM26 @ site 1 -> SERVER0 @ site 1
150531 230620.113|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[RUN_SUBMISSION] #3 TEAM26 @ site 1 -> SERVER0 @ site 1
150531 230620.194|INFO|Thread-11|info| receiveObject(S) start got Packet[RUN_SUBMISSION_CONFIRM] #10568 SERVER0 @ site 1 -> TEAM26 @ site 1
150531 230620.195|INFO|Thread-11|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #10568 ) recieveObject
150531 230620.195|INFO|Thread-11|dumpPacket|  From: SERVER0 @ site 1 (sna405-PC @ 140.123.104.102) (Contest Id: Default-4012406657417321273)
150531 230620.196|INFO|Thread-11|dumpPacket|    To: TEAM26 @ site 1
150531 230620.196|INFO|Thread-11|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 538 QUEUED_FOR_COMPUTER_JUDGEMENT557869713 ms from TEAM26 @ site 1 id Run--8883390478530300990
150531 230620.197|INFO|Thread-11|info|handlePacket start Packet[RUN_SUBMISSION_CONFIRM] #10568 SERVER0 @ site 1 -> TEAM26 @ site 1
150531 230620.197|INFO|Thread-11|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #10568 ) handlePacket
150531 230620.200|INFO|Thread-11|dumpPacket|  From: SERVER0 @ site 1 (sna405-PC @ 140.123.104.102) (Contest Id: Default-4012406657417321273)
150531 230620.202|INFO|Thread-11|dumpPacket|    To: TEAM26 @ site 1
150531 230620.202|INFO|Thread-11|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 538 QUEUED_FOR_COMPUTER_JUDGEMENT557869713 ms from TEAM26 @ site 1 id Run--8883390478530300990
150531 230622.840|INFO|Thread-12|info| receiveObject(S) start got Packet[RUN_JUDGEMENT] #10580 SERVER0 @ site 1 -> TEAM26 @ site 1
150531 230622.841|INFO|Thread-12|dumpPacket|Packet RUN_JUDGEMENT (Seq #10580 ) recieveObject
150531 230622.842|INFO|Thread-12|dumpPacket|  From: SERVER0 @ site 1 (sna405-PC @ 140.123.104.102) (Contest Id: Default-4012406657417321273)
150531 230622.842|INFO|Thread-12|dumpPacket|    To: TEAM26 @ site 1
150531 230622.842|INFO|Thread-12|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
150531 230622.843|INFO|Thread-12|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord No by JUDGE3 @ site 1 judgement No - Wrong Answer--650080255801470458 id JudgementRecord--5852533999259404956
150531 230622.843|INFO|Thread-12|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 538 JUDGED557869713 ms from TEAM26 @ site 1 id Run--8883390478530300990
150531 230622.844|INFO|Thread-12|info|handlePacket start Packet[RUN_JUDGEMENT] #10580 SERVER0 @ site 1 -> TEAM26 @ site 1
150531 230622.845|INFO|Thread-12|dumpPacket|Packet RUN_JUDGEMENT (Seq #10580 ) handlePacket
150531 230622.846|INFO|Thread-12|dumpPacket|  From: SERVER0 @ site 1 (sna405-PC @ 140.123.104.102) (Contest Id: Default-4012406657417321273)
150531 230622.846|INFO|Thread-12|dumpPacket|    To: TEAM26 @ site 1
150531 230622.848|INFO|Thread-12|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
150531 230622.849|INFO|Thread-12|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord No by JUDGE3 @ site 1 judgement No - Wrong Answer--650080255801470458 id JudgementRecord--5852533999259404956
150531 230622.850|INFO|Thread-12|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 538 JUDGED557869713 ms from TEAM26 @ site 1 id Run--8883390478530300990
150531 230623.662|INFO|Thread-12|info| receiveObject(S) end   got Packet[RUN_JUDGEMENT] #10580 SERVER0 @ site 1 -> TEAM26 @ site 1
150531 230624.088|INFO|Thread-11|info| receiveObject(S) end   got Packet[RUN_SUBMISSION_CONFIRM] #10568 SERVER0 @ site 1 -> TEAM26 @ site 1
150531 231041.847|INFO|AWT-EventQueue-0|testOrSubmitRun|submitRun for p3w2d GNU C file: C:\Users\SONY_VAIO\Desktop\p3w2d shadow version\main.c
150531 231041.849|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[RUN_SUBMISSION] #4 TEAM26 @ site 1 -> SERVER0 @ site 1
150531 231041.850|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[RUN_SUBMISSION] #4 TEAM26 @ site 1 -> SERVER0 @ site 1
